Customer_ID,Recency,Frequency,Monetary,Future_Spend,Is_Churn,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,First_Purchase,Last_Purchase,Total_Transactions,Avg_Transaction,Std_Transaction,Category_Diversity,Avg_Quantity,Avg_Discount,Tenure_Days,Avg_Purchase_Freq,Last_Purchase_Month,Tech_Sales,Tech_Customer,Action_Segment
AA-10315,2,5,5563.56,0.0,1,5,3,5,13,Loyal Customers,2014-03-31,2017-06-29,11,505.77818181818185,1157.9900336515698,3,2.727272727272727,0.09090909090909091,1186,107.81818181818181,6,473.696,1,VIP Recent
AA-10375,229,7,849.658,206.732,0,2,4,2,8,Regular Customers,2014-04-21,2016-11-14,10,84.9658,152.80931651193407,3,2.8,0.1,938,93.8,11,649.95,1,Tech Loyal
AA-10480,77,4,1790.5120000000002,0.0,1,4,2,3,9,Regular Customers,2014-05-04,2017-04-15,12,149.20933333333335,176.22919417071796,3,3.0,0.016666666666666666,1077,89.75,4,689.94,1,Tech Loyal
AA-10645,300,5,5073.975,12.96,0,2,3,5,10,At Risk,2014-06-22,2016-09-04,17,298.46911764705885,436.96051439173004,3,3.6470588235294117,0.06764705882352941,805,47.35294117647059,9,354.68199999999996,1,At-Risk High-Value
AB-10015,233,3,886.156,0.0,1,2,1,2,5,Hibernating,2014-02-18,2016-11-10,6,147.69266666666667,139.43237127534863,3,2.1666666666666665,0.06666666666666667,996,166.0,11,221.98,1,Tech Loyal
AB-10060,55,5,4899.346,2856.274,0,4,3,5,12,Loyal Customers,2015-09-18,2017-05-07,11,445.39509090909087,1297.6944566022817,3,2.3636363636363638,0.03636363636363637,597,54.27272727272727,5,86.78,1,VIP Recent
AB-10105,26,7,12997.607,1475.964,0,5,4,5,14,Champions,2014-12-20,2017-06-05,13,999.8159230769231,2688.3369573241885,3,4.0,0.2538461538461539,898,69.07692307692308,6,1102.99,1,VIP Recent
AB-10150,517,3,736.054,230.65599999999998,0,1,1,2,4,Hibernating,2014-03-05,2016-01-31,7,105.15057142857142,168.00852811971296,2,3.142857142857143,0.05714285714285715,697,99.57142857142857,1,479.97,1,Tech Loyal
AB-10165,78,6,910.086,203.752,0,4,4,2,10,Potential Loyalists,2014-11-16,2017-04-14,11,82.73509090909091,86.74747385538619,3,3.090909090909091,0.11818181818181818,880,80.0,4,212.928,1,Tech Loyal
AB-10255,15,8,434.548,479.984,0,5,5,1,11,Potential Loyalists,2014-07-22,2017-06-16,13,33.42676923076923,48.597004794798224,3,2.8461538461538463,0.09230769230769233,1060,81.53846153846153,6,53.37,1,Tech Loyal
AB-10600,579,3,40.808,1475.054,0,1,1,1,3,Hibernating,2014-11-18,2015-11-30,3,13.602666666666666,3.9968814509981825,2,3.3333333333333335,0.3333333333333333,377,125.66666666666667,11,0.0,0,Standard
AC-10420,50,3,925.8,0.0,1,4,1,2,7,Needs Attention,2014-07-12,2017-05-12,5,185.16,290.3380627062184,2,3.4,0.32,1035,207.0,5,0.0,0,Standard
AC-10450,219,5,2068.246,3459.6,0,2,3,3,8,At Risk,2014-10-31,2016-11-24,7,295.4637142857143,488.500171969166,2,5.571428571428571,0.24285714285714285,755,107.85714285714286,11,754.008,1,Tech Loyal
AC-10615,99,3,243.88799999999998,2293.798,0,4,1,1,6,Needs Attention,2015-09-15,2017-03-24,5,48.77759999999999,61.62684023053591,2,3.6,0.25999999999999995,556,111.2,3,71.96,1,Tech Loyal
AC-10660,100,5,657.316,0.0,1,4,3,1,8,Potential Loyalists,2014-10-15,2017-03-23,6,109.55266666666667,79.30650271110603,3,2.6666666666666665,0.18333333333333335,890,148.33333333333334,3,286.368,1,Tech Loyal
AD-10180,62,6,5026.33,1080.55,0,4,4,5,13,Champions,2014-11-19,2017-04-30,9,558.4811111111111,990.8163408735804,3,3.3333333333333335,0.07777777777777778,893,99.22222222222223,4,2999.95,1,VIP Recent
AF-10870,68,5,1772.522,280.38599999999997,0,4,3,3,10,Loyal Customers,2015-12-06,2017-04-24,13,136.34784615384615,190.40905486077696,3,3.5384615384615383,0.19230769230769232,505,38.84615384615385,4,724.2560000000001,1,Tech Loyal
AF-10885,233,4,861.565,0.0,1,2,2,2,6,Hibernating,2014-05-10,2016-11-10,7,123.0807142857143,137.03540587103063,3,5.285714285714286,0.2571428571428572,915,130.71428571428572,11,83.72,1,Tech Loyal
AG-10270,96,5,2582.898,0.0,1,4,3,4,11,Loyal Customers,2014-05-13,2017-03-27,14,184.4927142857143,354.3680369356193,3,4.142857142857143,0.014285714285714287,1049,74.92857142857143,3,279.9,1,Tech Loyal
AG-10300,208,3,361.58799999999997,5.96,0,2,1,1,4,Hibernating,2014-04-26,2016-12-05,4,90.39699999999999,97.2230920923625,2,3.5,0.1,954,238.5,12,0.0,0,Standard
AG-10330,332,1,248.82,412.15200000000004,0,1,1,1,3,Hibernating,2016-08-03,2016-08-03,2,124.41,60.627335418934585,2,7.5,0.0,0,0.0,8,167.28,1,Standard
AG-10390,212,4,181.185,19.76,0,2,2,1,5,Hibernating,2014-04-19,2016-12-01,7,25.88357142857143,27.239134701486282,1,4.142857142857143,0.2571428571428571,957,136.71428571428572,12,0.0,0,Standard
AG-10495,254,7,2242.479,114.376,0,2,4,4,10,At Risk,2015-01-04,2016-10-20,17,131.91052941176468,157.77839678490432,3,4.588235294117647,0.20588235294117646,655,38.529411764705884,10,174.304,1,Tech Loyal
AG-10525,663,4,1455.038,0.0,1,1,2,3,6,Regular Customers,2014-08-09,2015-09-07,9,161.6708888888889,211.22574630738345,3,3.6666666666666665,0.15555555555555556,394,43.77777777777778,9,828.094,1,Tech Loyal
AG-10675,22,4,3335.3436,153.696,0,5,2,4,11,Regular Customers,2015-05-07,2017-06-09,9,370.5937333333334,766.3043675865616,3,3.6666666666666665,0.20222222222222222,764,84.88888888888889,6,57.584,1,Tech Loyal
AG-10765,600,3,129.732,40.852000000000004,0,1,1,1,3,Hibernating,2014-09-17,2015-11-09,3,43.244,60.545613614860656,1,3.3333333333333335,0.2333333333333333,418,139.33333333333334,11,0.0,0,Standard
AG-10900,61,8,4224.847,285.95000000000005,0,4,5,5,14,Champions,2014-07-23,2017-05-01,19,222.3603684210526,278.4889886167874,3,4.315789473684211,0.15263157894736842,1013,53.31578947368421,5,1502.976,1,VIP Recent
AH-10030,468,6,1725.996,18.704,0,1,4,3,8,At Risk,2014-04-22,2016-03-20,10,172.5996,211.89322823388616,3,4.7,0.08,698,69.8,3,702.93,1,Tech Loyal
AH-10075,43,7,1868.026,1382.311,0,5,4,3,12,Loyal Customers,2014-11-16,2017-05-19,11,169.82054545454545,247.69182226967592,3,3.909090909090909,0.10909090909090911,915,83.18181818181819,5,165.6,1,Tech Loyal
AH-10120,84,4,1359.9840000000002,375.53000000000003,0,4,2,3,9,Regular Customers,2014-07-18,2017-04-08,11,123.6349090909091,125.87440756996996,3,4.090909090909091,0.23636363636363636,995,90.45454545454545,4,191.576,1,Tech Loyal
AH-10195,195,2,1543.006,44.446000000000005,0,3,1,3,7,Regular Customers,2015-03-05,2016-12-18,5,308.6012,374.7193957979758,2,3.6,0.32,654,130.8,12,0.0,0,Standard
AH-10210,115,5,1679.2640000000001,3126.08,0,3,3,3,9,Regular Customers,2014-11-29,2017-03-08,9,186.5848888888889,286.08208605767527,2,3.4444444444444446,0.1111111111111111,830,92.22222222222223,3,1429.76,1,Tech Loyal
AH-10465,48,5,2495.3916,0.0,1,4,3,4,11,Loyal Customers,2015-01-03,2017-05-14,8,311.92395,465.164680086056,3,4.375,0.14,862,107.75,5,938.37,1,Tech Loyal
AH-10585,289,2,483.28,255.22400000000002,0,2,1,1,4,Hibernating,2014-10-26,2016-09-15,3,161.09333333333333,193.53426294414464,3,4.666666666666667,0.06666666666666667,690,230.0,9,383.96,1,Standard
AH-10690,228,12,7888.294,0.0,1,2,5,5,12,At Risk,2014-04-02,2016-11-15,23,342.9693043478261,622.8903226267362,3,4.434782608695652,0.21739130434782608,958,41.65217391304348,11,3440.8920000000003,1,At-Risk High-Value
AI-10855,57,7,3800.832,574.954,0,4,4,5,13,Champions,2014-04-28,2017-05-05,15,253.3888,444.05232912336544,3,4.266666666666667,0.05333333333333334,1103,73.53333333333333,5,2043.528,1,VIP Recent
AJ-10780,48,6,4559.568,307.776,0,4,4,5,13,Champions,2014-01-10,2017-05-14,14,325.6834285714286,565.46088296372,3,3.9285714285714284,0.07857142857142858,1220,87.14285714285714,5,89.97,1,VIP Recent
AJ-10795,187,6,3206.366,1295.0249999999999,0,3,4,4,11,Regular Customers,2014-05-14,2016-12-26,17,188.60976470588236,293.62457125033177,3,4.176470588235294,0.09411764705882353,957,56.294117647058826,12,1231.2839999999999,1,Tech Loyal
AJ-10945,225,5,1191.166,648.0740000000001,0,2,3,2,7,Regular Customers,2014-03-03,2016-11-18,8,148.89575,157.7910199742051,3,3.625,0.025,991,123.875,11,391.88,1,Tech Loyal
AJ-10960,914,2,618.608,10.64,0,1,1,1,3,Hibernating,2014-09-14,2014-12-30,4,154.652,202.12216379209877,1,4.5,0.05,107,26.75,12,0.0,0,Standard
